    CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,RECORDDATE
40359480,1 EAST 66TH STREET KITCHEN,1,1,EAST 66 STREET,10065,2128793900,03,2014-05-07 00:00:00,D,10B,3,A,2014-05-07 00:00:00,2014-09-04 06:01:28.403000000
40358429,MAY MAY KITCHEN,3,1269,SUTTER AVENUE,11208,7182354485,20,2013-08-28 00:00:00,D,02B,7,A,2013-08-28 00:00:00,2014-09-04 06:01:28.403000000
40360045,SEUDA FOODS,3,705,KINGS HIGHWAY,11223,7183751500,50,2013-10-10 00:00:00,D,04L,13,A,2013-10-10 00:00:00,2014-09-04 06:01:28.403000000
30112340,WENDY'S,3,469,FLATBUSH AVENUE,11225,7182875005,39,2014-07-01 00:00:00,F,04J,23,B,2014-07-01 00:00:00,2014-09-04 06:01:28.403000000
40356151,BRUNOS ON THE BOULEVARD,4,88-25,ASTORIA BOULEVARD,11369,7183350505,03,2014-05-02 00:00:00,F,06A,10,A,2014-05-02 00:00:00,2014-09-04 06:01:28.403000000
40356442,KOSHER ISLAND,5,2206,VICTORY BOULEVARD,10314,7186985800,50,2014-05-20 00:00:00,D,06D,12,A,2014-05-20 00:00:00,2014-09-04 06:01:28.403000000
40356442,KOSHER ISLAND,5,2206,VICTORY BOULEVARD,10314,7186985800,50,2014-05-20 00:00:00,D,06E,12,A,2014-05-20 00:00:00,2014-09-04 06:01:28.403000000
40356649,REGINA CATERERS,3,6409,11 AVENUE,11219,7182560829,03,2014-07-18 00:00:00,D,06D,12,A,2014-07-18 00:00:00,2014-09-04 06:01:28.403000000
40357217,WILD ASIA,2,2300,SOUTHERN BOULEVARD,10460,7182207846,03,2014-05-28 00:00:00,D,06F,11,A,2014-05-28 00:00:00,2014-09-04 06:01:28.403000000
40357437,C & C CATERING SERVICE,3,7715,18 AVENUE,11214,7182322800,03,2014-04-16 00:00:00,D,06D,5,A,2014-04-16 00:00:00,2014-09-04 06:01:28.403000000
40360045,SEUDA FOODS,3,705,KINGS HIGHWAY,11223,7183751500,50,2013-10-10 00:00:00,D,08C,13,A,2013-10-10 00:00:00,2014-09-04 06:01:28.403000000
40356731,TASTE THE TROPICS ICE CREAM,3,1839,NOSTRAND AVENUE,11226,7188560821,43,2014-07-14 00:00:00,D,06E,12,A,2014-07-14 00:00:00,2014-09-04 06:01:28.403000000
40361322,CARVEL ICE CREAM,4,265-15,HILLSIDE AVENUE,11004,7183430392,43,2013-09-18 00:00:00,D,08A,10,A,2013-09-18 00:00:00,2014-09-04 06:01:28.403000000
40361618,SAL'S DELI,4,129-08,20 AVENUE,11356,7186619498,27,2014-08-16 00:00:00,D,06C,12,A,2014-08-16 00:00:00,2014-09-04 06:01:28.403000000
40361618,SAL'S DELI,4,129-08,20 AVENUE,11356,7186619498,27,2014-08-16 00:00:00,D,06A,12,A,2014-08-16 00:00:00,2014-09-04 06:01:28.403000000
40361390,NORDIC DELICACIES,3,6909,3 AVENUE,11209,7187481874,27,2014-08-21 00:00:00,D,10B,4,A,2014-08-21 00:00:00,2014-09-04 06:01:28.403000000
40361521,GLORIOUS FOOD,1,522,EAST 74 STREET,10021,2127372140,03,2014-09-02 00:00:00,U,04L,19,Z,2014-09-02 00:00:00,2014-09-04 06:01:28.403000000
40361708,BULLY'S DELI,1,759,BROADWAY,10003,2122549755,27,2014-01-21 00:00:00,D,06D,12,A,2014-01-21 00:00:00,2014-09-04 06:01:28.403000000
40360045,SEUDA FOODS,3,705,KINGS HIGHWAY,11223,7183751500,50,2013-10-10 00:00:00,D,08A,13,A,2013-10-10 00:00:00,2014-09-04 06:01:28.403000000
40361322,CARVEL ICE CREAM,4,265-15,HILLSIDE AVENUE,11004,7183430392,43,2013-09-18 00:00:00,D,04L,10,A,2013-09-18 00:00:00,2014-09-04 06:01:28.403000000
40361606,THE MOVABLE FEAST,3,284,PROSPECT PARK WEST,11215,7189652900,03,2013-11-14 00:00:00,D,10F,2,A,2013-11-14 00:00:00,2014-09-04 06:01:28.403000000
40361521,GLORIOUS FOOD,1,522,EAST 74 STREET,10021,2127372140,03,2014-09-02 00:00:00,U,08A,19,Z,2014-09-02 00:00:00,2014-09-04 06:01:28.403000000
40360076,CARVEL ICE CREAM,3,203,CHURCH AVENUE,11218,7184389501,43,2014-02-10 00:00:00,D,10F,2,A,2014-02-10 00:00:00,2014-09-04 06:01:28.403000000
40361390,NORDIC DELICACIES,3,6909,3 AVENUE,11209,7187481874,27,2014-08-21 00:00:00,D,10F,4,A,2014-08-21 00:00:00,2014-09-04 06:01:28.403000000
40361708,BULLY'S DELI,1,759,BROADWAY,10003,2122549755,27,2014-01-21 00:00:00,D,10F,12,A,2014-01-21 00:00:00,2014-09-04 06:01:28.403000000
40361618,SAL'S DELI,4,129-08,20 AVENUE,11356,7186619498,27,2014-08-16 00:00:00,D,08C,12,A,2014-08-16 00:00:00,2014-09-04 06:01:28.403000000
40362098,HARRIET'S KITCHEN,1,502,AMSTERDAM AVENUE,10024,2127210045,18,2014-03-04 00:00:00,U,04N,13,A,2014-03-04 00:00:00,2014-09-04 06:01:28.403000000
40362264,P & S DELI GROCERY,1,730,COLUMBUS AVENUE,10025,2129323030,03,2013-08-28 00:00:00,D,02G,9,A,2013-08-28 00:00:00,2014-09-04 06:01:28.403000000
40362264,P & S DELI GROCERY,1,730,COLUMBUS AVENUE,10025,2129323030,03,2013-08-28 00:00:00,D,10F,9,A,2013-08-28 00:00:00,2014-09-04 06:01:28.403000000
40362344,WHITE CASTLE,3,531,MYRTLE AVENUE,11205,7188578132,39,2014-03-18 00:00:00,D,06D,8,A,2014-03-18 00:00:00,2014-09-04 06:01:28.403000000
40362098,HARRIET'S KITCHEN,1,502,AMSTERDAM AVENUE,10024,2127210045,18,2014-03-04 00:00:00,U,08A,13,A,2014-03-04 00:00:00,2014-09-04 06:01:28.403000000
40362715,THE COUNTRY CAFE,1,60,WALL STREET,10005,3474279132,83,2013-09-18 00:00:00,D,06B,13,A,2013-09-18 00:00:00,2014-09-04 06:01:28.403000000
40363804,WINTER CATERERS,5,584,RICHMOND ROAD,10304,7184427203,03,2013-07-10 00:00:00,D,04L,13,A,2013-07-10 00:00:00,2014-09-04 06:01:28.403000000
40363151,OLIVE'S,1,120,PRINCE STREET,10012,2129410111,08,2013-09-18 00:00:00,D,10F,13,A,2013-09-18 00:00:00,2014-09-04 06:01:28.403000000
40362869,SHASHEMENE INT'L RESTAURA,3,195,EAST 56 STREET,11203,3474300871,17,2014-05-13 00:00:00,D,10F,2,A,2014-05-13 00:00:00,2014-09-04 06:01:28.403000000
40363093,CARVEL ICE CREAM,2,1006,EAST 233 STREET,10466,7186526827,43,2014-04-24 00:00:00,D,06A,10,A,2014-04-24 00:00:00,2014-09-04 06:01:28.403000000
40363021,DOWNTOWN DELI,1,107,CHURCH STREET,10007,2122332911,03,2014-07-18 00:00:00,D,02B,12,A,2014-07-18 00:00:00,2014-09-04 06:01:28.403000000
40363021,DOWNTOWN DELI,1,107,CHURCH STREET,10007,2122332911,03,2014-07-18 00:00:00,D,10F,12,A,2014-07-18 00:00:00,2014-09-04 06:01:28.403000000
40363834,CARVEL ICE CREAM,5,1111,HYLAN BOULEVARD,10305,7188167807,43,2014-04-24 00:00:00,D,04L,12,A,2014-04-24 00:00:00,2014-09-04 06:01:28.403000000
40364179,SPOON BREAD CATERING,1,364,WEST 110 STREET,10025,2128656744,03,2014-02-26 00:00:00,F,10B,23,B,2014-02-26 00:00:00,2014-09-04 06:01:28.403000000
40363427,BAGELS N BUNS,5,2491,VICTORY BOULEVARD,10314,7187611900,27,2013-12-05 00:00:00,D,10B,10,A,2013-12-05 00:00:00,2014-09-04 06:01:28.403000000
40363565,HOT BAGELS,4,7905,METROPOLITAN AVENUE,11379,7183268510,07,2014-01-16 00:00:00,U,04C,23,B,2014-01-16 00:00:00,2014-09-04 06:01:28.403000000
40362432,HO MEI RESTAURANT,4,103-05,37 AVENUE,11368,7187796903,20,2014-04-21 00:00:00,D,06C,10,A,2014-04-21 00:00:00,2014-09-04 06:01:28.403000000
40363021,DOWNTOWN DELI,1,107,CHURCH STREET,10007,2122332911,03,2014-07-18 00:00:00,D,10D,12,A,2014-07-18 00:00:00,2014-09-04 06:01:28.403000000
40363117,MEJLANDER & MULGANNON,3,7615,5 AVENUE,11209,7182386666,03,2013-10-24 00:00:00,D,02G,11,A,2013-10-24 00:00:00,2014-09-04 06:01:28.403000000
40363289,HAPPY GARDEN,2,1236,238 SPOFFORD AVE,10474,7186171818,20,2013-12-30 00:00:00,D,10F,8,A,2013-12-30 00:00:00,2014-09-04 06:01:28.403000000
40362344,WHITE CASTLE,3,531,MYRTLE AVENUE,11205,7188578132,39,2014-03-18 00:00:00,D,10F,8,A,2014-03-18 00:00:00,2014-09-04 06:01:28.403000000
40362274,ANGELIKA FILM CENTER,1,18,WEST HOUSTON STREET,10012,2129952570,03,2014-04-03 00:00:00,D,06D,9,A,2014-04-03 00:00:00,2014-09-04 06:01:28.403000000
40364286,PLAZA BAGELS & DELI,5,73,NEW DORP PLAZA,10306,7183513906,27,2013-11-07 00:00:00,D,06C,12,A,2013-11-07 00:00:00,2014-09-04 06:01:28.403000000
40363298,CAFE METRO,1,625,8 AVENUE,10018,2127149342,03,2014-06-09 00:00:00,D,08A,12,A,2014-06-09 00:00:00,2014-09-04 06:01:28.403000000
40363565,HOT BAGELS,4,7905,METROPOLITAN AVENUE,11379,7183268510,07,2014-01-16 00:00:00,U,06D,23,B,2014-01-16 00:00:00,2014-09-04 06:01:28.403000000
40363590,SNACK TIME GRILL,4,87-69,LEFFERTS BOULEVARD,11418,7188057835,03,2014-02-25 00:00:00,D,10D,7,A,2014-02-25 00:00:00,2014-09-04 06:01:28.403000000
40363427,BAGELS N BUNS,5,2491,VICTORY BOULEVARD,10314,7187611900,27,2013-12-05 00:00:00,D,02G,10,A,2013-12-05 00:00:00,2014-09-04 06:01:28.403000000
40363590,SNACK TIME GRILL,4,87-69,LEFFERTS BOULEVARD,11418,7188057835,03,2014-02-25 00:00:00,D,06C,7,A,2014-02-25 00:00:00,2014-09-04 06:01:28.403000000
40363333,TONY'S DELI,4,1069,WYCKOFF AVENUE,11385,7183867925,27,2014-05-08 00:00:00,D,10F,11,A,2014-05-08 00:00:00,2014-09-04 06:01:28.403000000
40363565,HOT BAGELS,4,7905,METROPOLITAN AVENUE,11379,7183268510,07,2014-01-16 00:00:00,U,10F,23,B,2014-01-16 00:00:00,2014-09-04 06:01:28.403000000
40364362,21 CLUB,1,21,WEST 52 STREET,10019,2125827200,03,2014-05-14 00:00:00,U,08A,12,A,2014-05-14 00:00:00,2014-09-04 06:01:28.403000000
40363289,HAPPY GARDEN,2,1236,238 SPOFFORD AVE,10474,7186171818,20,2013-12-30 00:00:00,D,06C,8,A,2013-12-30 00:00:00,2014-09-04 06:01:28.403000000
40363298,CAFE METRO,1,625,8 AVENUE,10018,2127149342,03,2014-06-09 00:00:00,D,04L,12,A,2014-06-09 00:00:00,2014-09-04 06:01:28.403000000
40363298,CAFE METRO,1,625,8 AVENUE,10018,2127149342,03,2014-06-09 00:00:00,D,10F,12,A,2014-06-09 00:00:00,2014-09-04 06:01:28.403000000
40363333,TONY'S DELI,4,1069,WYCKOFF AVENUE,11385,7183867925,27,2014-05-08 00:00:00,D,04L,11,A,2014-05-08 00:00:00,2014-09-04 06:01:28.403000000
40362715,THE COUNTRY CAFE,1,60,WALL STREET,10005,3474279132,83,2013-09-18 00:00:00,D,06F,13,A,2013-09-18 00:00:00,2014-09-04 06:01:28.403000000
40362715,THE COUNTRY CAFE,1,60,WALL STREET,10005,3474279132,83,2013-09-18 00:00:00,D,10B,13,A,2013-09-18 00:00:00,2014-09-04 06:01:28.403000000
40363093,CARVEL ICE CREAM,2,1006,EAST 233 STREET,10466,7186526827,43,2014-04-24 00:00:00,D,06D,10,A,2014-04-24 00:00:00,2014-09-04 06:01:28.403000000
40363644,DOMINO'S PIZZA,1,464,3 AVENUE,10016,2125450200,62,2014-08-05 00:00:00,D,10F,3,A,2014-08-05 00:00:00,2014-09-04 06:01:28.403000000
40363804,WINTER CATERERS,5,584,RICHMOND ROAD,10304,7184427203,03,2013-07-10 00:00:00,D,08A,13,A,2013-07-10 00:00:00,2014-09-04 06:01:28.403000000
40363920,GOLDEN PAVILLION,3,976,RUTLAND ROAD,11212,7187357707,20,2014-04-23 00:00:00,D,04L,13,A,2014-04-23 00:00:00,2014-09-04 06:01:28.403000000
40363945,DOMINO'S PIZZA,1,148,WEST 72 STREET,10023,2125010200,62,2014-05-05 00:00:00,U,04A,18,B,2014-05-05 00:00:00,2014-09-04 06:01:28.403000000
40364179,SPOON BREAD CATERING,1,364,WEST 110 STREET,10025,2128656744,03,2014-02-26 00:00:00,F,10F,23,B,2014-02-26 00:00:00,2014-09-04 06:01:28.403000000
40364179,SPOON BREAD CATERING,1,364,WEST 110 STREET,10025,2128656744,03,2014-02-26 00:00:00,F,04A,23,B,2014-02-26 00:00:00,2014-09-04 06:01:28.403000000
40364179,SPOON BREAD CATERING,1,364,WEST 110 STREET,10025,2128656744,03,2014-02-26 00:00:00,F,04L,23,B,2014-02-26 00:00:00,2014-09-04 06:01:28.403000000
40364220,KOSHER BAGEL HOLE,3,1423,AVENUE J,11230,7182584150,50,2013-12-05 00:00:00,D,02G,11,A,2013-12-05 00:00:00,2014-09-04 06:01:28.403000000
40364262,TERMINAL CAFE/YANKEE CLIPPER,4,0,GUARDIA AIRPORT PARKING,11371,9172998133,03,2014-05-16 00:00:00,D,02G,9,A,2014-05-16 00:00:00,2014-09-04 06:01:28.403000000
40364286,PLAZA BAGELS & DELI,5,73,NEW DORP PLAZA,10306,7183513906,27,2013-11-07 00:00:00,D,02G,12,A,2013-11-07 00:00:00,2014-09-04 06:01:28.403000000
40364299,B & M HOT BAGEL & GROCERY,5,203,GIFFORDS LANE,10308,7189668445,27,2014-03-20 00:00:00,D,06D,12,A,2014-03-20 00:00:00,2014-09-04 06:01:28.403000000
40364404,POLISH NATIONAL HOME,3,261,DRIGGS AVENUE,11222,7183875252,64,2014-05-31 00:00:00,D,10H,2,A,2014-05-31 00:00:00,2014-09-04 06:01:28.403000000
40364439,SEVILLE RESTAURANT,1,62,CHARLES STREET,10014,2129293189,53,2014-05-02 00:00:00,D,08B,11,A,2014-05-02 00:00:00,2014-09-04 06:01:28.403000000
40364467,NYAC MAIN DINING ROOM,1,180,CENTRAL PARK SOUTH,10019,2127677000,03,2014-08-07 00:00:00,F,06A,47,Z,2014-08-07 00:00:00,2014-09-04 06:01:28.403000000
40364467,NYAC MAIN DINING ROOM,1,180,CENTRAL PARK SOUTH,10019,2127677000,03,2014-08-07 00:00:00,F,06B,47,Z,2014-08-07 00:00:00,2014-09-04 06:01:28.403000000
40363804,WINTER CATERERS,5,584,RICHMOND ROAD,10304,7184427203,03,2013-07-10 00:00:00,D,10F,13,A,2013-07-10 00:00:00,2014-09-04 06:01:28.403000000
40363630,LORENZO & MARIA'S,1,1418,THIRD AVENUE,10028,2127941080,23,2014-06-02 00:00:00,D,04L,9,A,2014-06-02 00:00:00,2014-09-04 06:01:28.403000000
40363685,BERKELY,1,437,MADISON AVENUE,10022,2128328121,03,2014-06-03 00:00:00,D,02G,9,A,2014-06-03 00:00:00,2014-09-04 06:01:28.403000000
40363685,BERKELY,1,437,MADISON AVENUE,10022,2128328121,03,2014-06-03 00:00:00,D,10F,9,A,2014-06-03 00:00:00,2014-09-04 06:01:28.403000000
40363834,CARVEL ICE CREAM,5,1111,HYLAN BOULEVARD,10305,7188167807,43,2014-04-24 00:00:00,D,08A,12,A,2014-04-24 00:00:00,2014-09-04 06:01:28.403000000
40363565,HOT BAGELS,4,7905,METROPOLITAN AVENUE,11379,7183268510,07,2014-01-16 00:00:00,U,02G,23,B,2014-01-16 00:00:00,2014-09-04 06:01:28.403000000
40363630,LORENZO & MARIA'S,1,1418,THIRD AVENUE,10028,2127941080,23,2014-06-02 00:00:00,D,08A,9,A,2014-06-02 00:00:00,2014-09-04 06:01:28.403000000
40364518,7B BAR,1,108,AVENUE B,10009,2126776742,03,2014-07-14 00:00:00,U,04K,17,B,2014-07-14 00:00:00,2014-09-04 06:01:28.403000000
40364518,7B BAR,1,108,AVENUE B,10009,2126776742,03,2014-07-14 00:00:00,U,08A,17,B,2014-07-14 00:00:00,2014-09-04 06:01:28.403000000
40364529,BEN-BEST DELI & RESTAURANT,4,96-40,QUEENS BOULEVARD,11374,7188971700,50,2014-03-13 00:00:00,D,06C,11,A,2014-03-13 00:00:00,2014-09-04 06:01:28.403000000
40364304,TEXAS ROTISSERIE,1,94,FULTON STREET,10038,2125666666,18,2014-07-15 00:00:00,F,10E,56,Z,2014-07-15 00:00:00,2014-09-04 06:01:28.403000000
40364305,PHILADELHIA GRILLE EXPRESS,3,10004,4 AVENUE,11209,7182380747,48,2014-02-25 00:00:00,D,02G,12,A,2014-02-25 00:00:00,2014-09-04 06:01:28.403000000
40364355,PALM RESTAURANT,1,837,2 AVENUE,10017,2126872953,03,2014-07-22 00:00:00,U,02G,23,Z,2014-07-22 00:00:00,2014-09-04 06:01:28.403000000
40364355,PALM RESTAURANT,1,837,2 AVENUE,10017,2126872953,03,2014-07-22 00:00:00,U,10F,23,Z,2014-07-22 00:00:00,2014-09-04 06:01:28.403000000
40364296,HAPPY GARDEN,2,277,EAST KINGSBRIDGE ROAD,10458,7182955588,20,2014-03-03 00:00:00,D,10F,10,A,2014-03-03 00:00:00,2014-09-04 06:01:28.403000000
40364299,B & M HOT BAGEL & GROCERY,5,203,GIFFORDS LANE,10308,7189668445,27,2014-03-20 00:00:00,D,10F,12,A,2014-03-20 00:00:00,2014-09-04 06:01:28.403000000
40364149,AUNTIE ANNE'S PRETZELS TRACK 18,1,0,34 STREET,10001,2122396882,07,2013-09-16 00:00:00,D,06D,7,A,2013-09-16 00:00:00,2014-09-04 06:01:28.403000000
40364149,AUNTIE ANNE'S PRETZELS TRACK 18,1,0,34 STREET,10001,2122396882,07,2013-09-16 00:00:00,D,10F,7,A,2013-09-16 00:00:00,2014-09-04 06:01:28.403000000
40364179,SPOON BREAD CATERING,1,364,WEST 110 STREET,10025,2128656744,03,2014-02-26 00:00:00,F,04M,23,B,2014-02-26 00:00:00,2014-09-04 06:01:28.403000000
40364179,SPOON BREAD CATERING,1,364,WEST 110 STREET,10025,2128656744,03,2014-02-26 00:00:00,F,08A,23,B,2014-02-26 00:00:00,2014-09-04 06:01:28.403000000
40364220,KOSHER BAGEL HOLE,3,1423,AVENUE J,11230,7182584150,50,2013-12-05 00:00:00,D,09A,11,A,2013-12-05 00:00:00,2014-09-04 06:01:28.403000000
40364220,KOSHER BAGEL HOLE,3,1423,AVENUE J,11230,7182584150,50,2013-12-05 00:00:00,D,10J,11,A,2013-12-05 00:00:00,2014-09-04 06:01:28.403000000
40364668,MARCHIS RESTAURANT,1,251,EAST 31 STREET,10016,2126792494,48,2014-04-22 00:00:00,D,02G,13,A,2014-04-22 00:00:00,2014-09-04 06:01:28.403000000
40364681,TOWNE CAFE,3,2602,EAST 15 STREET,11235,7186469827,03,2014-05-14 00:00:00,D,04J,11,A,2014-05-14 00:00:00,2014-09-04 06:01:28.403000000
40363744,SONNY'S HEROS,3,1031,EAST 92 STREET,11236,7184859810,03,2014-02-05 00:00:00,B,,0,A,2014-02-05 00:00:00,2014-09-04 06:01:28.403000000
40363834,CARVEL ICE CREAM,5,1111,HYLAN BOULEVARD,10305,7188167807,43,2014-04-24 00:00:00,D,10F,12,A,2014-04-24 00:00:00,2014-09-04 06:01:28.403000000
40363920,GOLDEN PAVILLION,3,976,RUTLAND ROAD,11212,7187357707,20,2014-04-23 00:00:00,D,08A,13,A,2014-04-23 00:00:00,2014-09-04 06:01:28.403000000
40363945,DOMINO'S PIZZA,1,148,WEST 72 STREET,10023,2125010200,62,2014-05-05 00:00:00,U,02G,18,B,2014-05-05 00:00:00,2014-09-04 06:01:28.403000000
40364439,SEVILLE RESTAURANT,1,62,CHARLES STREET,10014,2129293189,53,2014-05-02 00:00:00,D,10F,11,A,2014-05-02 00:00:00,2014-09-04 06:01:28.403000000
40364467,NYAC MAIN DINING ROOM,1,180,CENTRAL PARK SOUTH,10019,2127677000,03,2014-08-07 00:00:00,F,04D,47,Z,2014-08-07 00:00:00,2014-09-04 06:01:28.403000000
40364304,TEXAS ROTISSERIE,1,94,FULTON STREET,10038,2125666666,18,2014-07-15 00:00:00,F,02G,56,Z,2014-07-15 00:00:00,2014-09-04 06:01:28.403000000
40364304,TEXAS ROTISSERIE,1,94,FULTON STREET,10038,2125666666,18,2014-07-15 00:00:00,F,04M,56,Z,2014-07-15 00:00:00,2014-09-04 06:01:28.403000000
40364304,TEXAS ROTISSERIE,1,94,FULTON STREET,10038,2125666666,18,2014-07-15 00:00:00,F,10A,56,Z,2014-07-15 00:00:00,2014-09-04 06:01:28.403000000
40364335,PETER LUGER STEAKHOUSE,3,178,BROADWAY,11211,7183877400,78,2014-03-08 00:00:00,D,06C,12,A,2014-03-08 00:00:00,2014-09-04 06:01:28.403000000
40364355,PALM RESTAURANT,1,837,2 AVENUE,10017,2126872953,03,2014-07-22 00:00:00,U,04L,23,Z,2014-07-22 00:00:00,2014-09-04 06:01:28.403000000
40364355,PALM RESTAURANT,1,837,2 AVENUE,10017,2126872953,03,2014-07-22 00:00:00,U,04M,23,Z,2014-07-22 00:00:00,2014-09-04 06:01:28.403000000
40364363,MANHEM CLUB,2,658,CLARENCE AVE,10465,7188228965,03,2014-06-21 00:00:00,D,06D,5,A,2014-06-21 00:00:00,2014-09-04 06:01:28.403000000
40364305,PHILADELHIA GRILLE EXPRESS,3,10004,4 AVENUE,11209,7182380747,48,2014-02-25 00:00:00,D,06D,12,A,2014-02-25 00:00:00,2014-09-04 06:01:28.403000000
40364355,PALM RESTAURANT,1,837,2 AVENUE,10017,2126872953,03,2014-07-22 00:00:00,U,08A,23,Z,2014-07-22 00:00:00,2014-09-04 06:01:28.403000000
40364691,DINING ROOM,1,.,ALLEN TRIPO,10075,2127341468,23,2013-10-10 00:00:00,D,06C,13,A,2013-10-10 00:00:00,2014-09-04 06:01:28.403000000
40364744,NEW PARK PIZZERIA & RESTAURANT,4,156-71,CROSSBAY BOULEVARD,11414,7186413082,63,2013-10-30 00:00:00,D,06D,9,A,2013-10-30 00:00:00,2014-09-04 06:01:28.403000000
40364744,NEW PARK PIZZERIA & RESTAURANT,4,156-71,CROSSBAY BOULEVARD,11414,7186413082,63,2013-10-30 00:00:00,D,09A,9,A,2013-10-30 00:00:00,2014-09-04 06:01:28.403000000
40364889,MELODY LANES,3,461,37 STREET,11232,7188322695,03,2013-12-04 00:00:00,D,10H,13,A,2013-12-04 00:00:00,2014-09-04 06:01:28.403000000
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),1,215,WEST 57 STREET,10019,2122474510,03,2014-02-14 00:00:00,D,04L,12,A,2014-02-14 00:00:00,2014-09-04 06:01:28.403000000
40364572,DONOHUE'S STEAK HOUSE,1,845,LEXINGTON AVENUE,10065,2127440938,78,2014-03-26 00:00:00,D,06D,12,A,2014-03-26 00:00:00,2014-09-04 06:01:28.403000000
40364581,JUNIOR'S,3,386,FLATBUSH AVENUE EXTENSION,11201,7188525257,03,2014-03-10 00:00:00,U,04H,7,A,2014-03-10 00:00:00,2014-09-04 06:01:28.403000000
