codedesc,violationdesc,ratio
Pizza/Italian,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.63864382598423
Asian,Thawing procedures improper.,1.6368932499245
African,Hot food item not held at or above 140º F.,1.63603906541146
French,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1.63585057735651
Chinese,Wiping cloths soiled or not stored in sanitizing solution.,1.60730494271733
Pizza,Hot food item not held at or above 140º F.,1.60037820283489
Thai,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.57417429691626
Hamburgers,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.56632454082454
Indian,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.56298029283108
Irish,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.55913696272356
Sandwiches,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.55607492804454
Italian,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1.55149556956955
Asian,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.54967918093981
Pizza,Single service item reused improperly stored dispensed; not used when required.,1.54936557306225
Caribbean,Thawing procedures improper.,1.54895901532015
Café/Coffee/Tea,Accurate thermometer not provided in refrigerated or hot holding equipment.,1.54595835642467
Indian,Live roaches present in facility's food and/or non-food areas.,1.53158024993267
Italian,Smoke free workplace smoking policy inadequate not posted not provided to employees.,1.51392375128807
Italian,Other general violation.,1.51187114312259
Korean,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.50884172233863
Caribbean,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.50654072126465
Japanese,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.50558426411795
American,Nuisance created or allowed to exist. Facility not free from unsafe hazardous offensive or annoying conditions.,1.50475352466638
American,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.50345005524929
Caribbean,Accurate thermometer not provided in refrigerated or hot holding equipment.,1.50006464124111
African,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.49755832881172
Soups & Sandwiches,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.49718541938506
French,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.48948540070038
Delicatessen,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.48904577472282
Japanese,Smoke free workplace smoking policy inadequate not posted not provided to employees.,1.48680982007386
Bakery,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.48449378388029
"Juice, Smoothies, Fruit Salads",Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.47961372911039
Japanese,Evidence of rats or live rats present in facility's food and/or non-food areas.,1.47443674025562
Delicatessen,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.46124177239265
Chinese,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.45502648574737
Café/Coffee/Tea,Proper sanitization not provided for utensil ware washing operation.,1.45354688139298
Chinese,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.45037248977939
Chinese,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,1.44987824236562
American,Operator failed to make good faith effort to inform smokers of the Smoke-free Act prohibition of smoking.,1.44367039168487
Donuts,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.4380020565536
Steak,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.43355256785986
Pizza,Food Protection Certificate not held by supervisor of food operations.,1.42891207981188
Sandwiches,Food contact surface not properly maintained.,1.42163822808984
Korean,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.42051466502461
Spanish,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,1.41006080811205
Thai,Wiping cloths soiled or not stored in sanitizing solution.,1.40565419589453
Mexican,Current letter grade card not posted.,1.40043469365962
Caribbean,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.39248120300752
American,Smoke free workplace smoking policy inadequate not posted not provided to employees.,1.38882846621699
Caribbean,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.38712350324243
Sandwiches,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.38711492997672
Thai,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.3851510005729
"Ice Cream, Gelato, Yogurt, Ices",Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.38364492032139
Pizza/Italian,Single service item reused improperly stored dispensed; not used when required.,1.38006023632657
Café/Coffee/Tea,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.37697826507202
American,"""""Wash hands sign not posted at hand wash facility.",1.37680135452956
Bakery,Live roaches present in facility's food and/or non-food areas.,1.3745436712275
Sandwiches,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.3728694788228
"Ice Cream, Gelato, Yogurt, Ices",Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.37143222840039
Mexican,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.36739676485112
Delicatessen,Hot food item not held at or above 140º F.,1.36614632208609
Mexican,Other general violation.,1.3653159050597
Japanese,Hot food item not held at or above 140º F.,1.36366896161942
Caribbean,Food Protection Certificate not held by supervisor of food operations.,1.35809277078707
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Evidence of rats or live rats present in facility's food and/or non-food areas.,1.3537080877066
Chinese,Evidence of rats or live rats present in facility's food and/or non-food areas.,1.35050833390968
Delicatessen,Wiping cloths soiled or not stored in sanitizing solution.,1.35000085898264
Chicken,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.34925930036423
Chinese,Canned food product observed dented and not segregated from other consumable food items.,1.34836780619195
Steak,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.34751486281955
Sandwiches/Salads/Mixed Buffet,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.34583166184821
Greek,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.34263638435337
Caribbean,Evidence of rats or live rats present in facility's food and/or non-food areas.,1.34028173882983
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Current letter grade card not posted.,1.33900876454988
Spanish,Food contact surface not properly maintained.,1.33807527925175
Caribbean,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.33566065333983
Mexican,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1.33398011680748
Chicken,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.33057044654097
Bagels/Pretzels,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.33013713428991
Pizza,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.32696524627156
Seafood,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.3265238566351
Café/Coffee/Tea,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.3228838284842
Italian,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.32261039808066
Korean,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.32172103550222
Mexican,Covered garbage receptacle not provided or inadequate except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,1.32040467876369
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Live roaches present in facility's food and/or non-food areas.,1.31823474185231
French,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.31449654051036
Vietnamese/Cambodian/Malaysia,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.31297346025676
Turkish,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.31226940501345
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Hot food item not held at or above 140º F.,1.31169279315636
Italian,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.31111967738821
Sandwiches,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.30935642687514
Thai,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.30692715552963
Caribbean,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.30615384615385
American,Proper sanitization not provided for utensil ware washing operation.,1.30504362553018
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.30327930096507
Turkish,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.30097542551312
Spanish,Hot food item not held at or above 140º F.,1.299342158857
Chicken,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.29848349493072
Italian,Current letter grade card not posted.,1.29669292648482
Pizza,Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric) latex gloves sign not posted. Inspection report sign not posted.,1.2923881054534
African,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.29067279637336
Italian,Proper sanitization not provided for utensil ware washing operation.,1.2800730924793
Donuts,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.27909015756908
Vietnamese/Cambodian/Malaysia,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.27796877839915
Asian,Wiping cloths soiled or not stored in sanitizing solution.,1.27709350528688
African,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.27698819071491
Pizza,Canned food product observed dented and not segregated from other consumable food items.,1.2753248129834
Seafood,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.27291005099962
American,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.27173160706516
Italian,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.27052017695745
Sandwiches/Salads/Mixed Buffet,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.26944867747663
Pizza/Italian,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.26737803707464
Spanish,Food Protection Certificate not held by supervisor of food operations.,1.26674174144458
Caribbean,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.26667108642452
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.26151229220715
Bakery,Hot food item not held at or above 140º F.,1.25821007683749
Mexican,"""""Wash hands sign not posted at hand wash facility.",1.25800518003166
American,Toilet facility used by women does not have at least one covered garbage receptacle.,1.25774314427091
Mexican,Smoke free workplace smoking policy inadequate not posted not provided to employees.,1.25708324289048
Japanese,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.25398432375105
American,Eggs found dirty/cracked; liquid frozen or powdered eggs not pasteurized.,1.25217086451781
Pizza/Italian,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.25173760213334
Soul Food,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.25054741606918
Spanish,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.24946699459004
Jewish/Kosher,Food contact surface not properly maintained.,1.24904910220895
Indian,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.24607278616742
Caribbean,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.24276603498542
Mexican,Live roaches present in facility's food and/or non-food areas.,1.24224625361202
Café/Coffee/Tea,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,1.2403160793254
French,Proper sanitization not provided for utensil ware washing operation.,1.24022479202723
Peruvian,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.23962464402111
Bakery,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.2378760065319
Vegetarian,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.23569348764473
Mexican,Food Protection Certificate not held by supervisor of food operations.,1.23288063003951
Seafood,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.23104371097235
Spanish,Evidence of rats or live rats present in facility's food and/or non-food areas.,1.22733165201405
Bakery,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.22706766917293
Vietnamese/Cambodian/Malaysia,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.2241372967192
Spanish,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.22399952988188
Pizza/Italian,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1.22136897174162
Korean,Food Protection Certificate not held by supervisor of food operations.,1.22000231870933
Pizza,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.21972236459034
Other,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.2193272867668
Delicatessen,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,1.21822945910537
Bakery,Accurate thermometer not provided in refrigerated or hot holding equipment.,1.21651583710407
Caribbean,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.21557046979866
American,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.,1.21203105100224
Mexican,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.20957313191696
Caribbean,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,1.20822884687114
American,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1.20757713015854
French,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.20460508701842
Asian,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.20411329838525
Pizza,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.20385034275183
Donuts,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.20322925814373
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Food contact surface not properly maintained.,1.20321756741202
Pizza,Current letter grade card not posted.,1.2028789783891
French,Food contact surface not properly maintained.,1.19752091138243
Italian,Food contact surface not properly maintained.,1.1963599906807
Sandwiches/Salads/Mixed Buffet,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.19607178063612
Russian,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.19599003895619
Chicken,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.19461723507318
Irish,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.19355376228903
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Covered garbage receptacle not provided or inadequate except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,1.19142501215298
Bakery,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.19097101119256
Hamburgers,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.19095219490758
Eastern European,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.19059518517594
Café/Coffee/Tea,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.19005872475705
Spanish,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.18796882699713
Sandwiches/Salads/Mixed Buffet,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.18795516760498
Japanese,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,1.18780073634413
Bagels/Pretzels,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.18765469974756
Pizza,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.18660638638797
Spanish,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.18299732378774
Mexican,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.18197061314672
Asian,Hot food item not held at or above 140º F.,1.18182126896524
Tex-Mex,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.17968258768811
Delicatessen,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.17858056223823
French,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,1.17809207546121
Sandwiches/Salads/Mixed Buffet,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.17716538685385
Asian,Live roaches present in facility's food and/or non-food areas.,1.17707965275724
Pizza,Covered garbage receptacle not provided or inadequate except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,1.17505039902154
Bakery,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,1.17482591919102
Bakery,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.17352505752099
Indian,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.17350348468881
Korean,Wiping cloths soiled or not stored in sanitizing solution.,1.1733591218749
"Bottled beverages, including water, sodas, juices, etc.",Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.17312234523919
Jewish/Kosher,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.17201868537507
American,Current letter grade card not posted.,1.17095053789142
Peruvian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,1.16988131403479
Jewish/Kosher,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.16941359266219
Spanish,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,1.16803646412806
Italian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.16755275074053
"Ice Cream, Gelato, Yogurt, Ices",Evidence of mice or live mice present in facility's food and/or non-food areas.,1.16296602352177
Italian,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.15980731727796
Bagels/Pretzels,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.1559495272717
Vegetarian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.1543997468266
Mediterranean,Food not protected from potential source of contamination during storage preparation transportation display or service.,1.15204051753879
Greek,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.15136325157911
Indian,Hot food item not held at or above 140º F.,1.15136316213226
Caribbean,Current letter grade card not posted.,1.14806433301798
Tex-Mex,Evidence of mice or live mice present in facility's food and/or non-food areas.,1.14550006312341
Hamburgers,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.14548874536923
French,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,1.14537691056821
"Juice, Smoothies, Fruit Salads",Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.14417202633824
"Juice, Smoothies, Fruit Salads",Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,1.14033849584092
Russian,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,1.1387904945992
